ct 22 17:27:04 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:27:04,092 - apscheduler.scheduler - INFO - Added job "check_expired_freezes_job" to job store "default"
Oct 22 17:28:48 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:48,517 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:50 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:50,624 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:50 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:50,912 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:51 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:51,278 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:51 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:51,571 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:52 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:52,422 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:52 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:52,715 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:55 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:55,790 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:56 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:56,085 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/answerCallbackQuery "HTTP/1.1 200 OK"
Oct 22 17:28:56 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:56,392 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/editMessageText "HTTP/1.1 200 OK"
Oct 22 17:28:58 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:58,431 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/getUpdates "HTTP/1.1 200 OK"
Oct 22 17:28:59 ip-172-31-42-97 telebot[29697]: 2025-10-22 17:28:59,141 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8483671369:AAEOTZCDpCPiarfZHdb1Z5CFAZoMvdtmeKs/editMessageText "HTTP/1.1 200 OK"
